time,ch1 (microvolts)
14.895489915645157,286.0
14.903518163755507,272.0
14.911546411865856,303.0
14.919574659976206,338.0
14.927602908086556,361.0
14.935631156196905,356.0
14.943659404303617,247.0
14.951687652413966,109.0
14.959715900524316,121.0
14.967744148634665,198.0
14.975772396745015,212.0
14.983800644855364,214.0
14.991828892965714,172.0
14.999857141076063,34.0
15.007885389186413,-46.0
15.015913637296762,0.0
15.023941885407112,20.0
15.031970133517461,-53.0
15.039998381624173,-191.0
15.048026629734522,-347.0
15.056054877844872,-426.0
15.064083125955221,-380.0
15.072111374065571,-303.0
15.08013962217592,-275.0
15.08816787028627,-251.0
15.09619611839662,-265.0
